index,Scratched,Breakage,Separated,Crushed,total_anns,ran_var,dataset,year,color,repair,categories_id,supercategory_name,Car ,Door,Front door,Rear door,Lamp,Front lamp,Rear lamp,Roof,Mirror,Side mirror (R),Side mirror (L),Bumper,Step,Trunk,Panel,Fender,Final price
0176681_sc-1008376.jpg,4,1,0,0,5,3.583333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0182961_sc-221725.jpg,3,0,1,1,5,1.5833333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0159557_sc-212940.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0402200_sc-169099.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0147828_as-7175598.jpg,3,0,1,0,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0365926_as-0043616.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0396066_as-0091699.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0293981_sc-176605.jpg,1,1,1,0,3,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0115341_sc-220648.jpg,1,0,1,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0297312_sc-135418.jpg,1,0,0,1,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0074981_as-0042123.jpg,4,1,1,1,7,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0466040_sc-199874.jpg,3,0,0,2,5,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0467582_as-3179433.jpg,2,0,1,0,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0529234_as-3231262.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0492372_sc-144541.jpg,5,0,2,0,7,5.583333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0366395_sc-167732.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0228321_as-2663996.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0398250_as-2996565.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0254292_as-0040128.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0277423_sc-196170.jpg,1,0,1,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0456215_sc-167448.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0358211_as-0028476.jpg,0,0,0,1,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0092570_as-0009757.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0533610_as-0048462.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0217062_as-0030044.jpg,1,0,1,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0097076_as-9091400.jpg,3,0,0,1,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0306906_as-0098799.jpg,1,0,0,1,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0399696_sc-1034807.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0406706_as-3280176.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0087309_sc-113424.jpg,1,1,0,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0403526_sc-1017343.jpg,3,0,0,1,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0050116_as-0073689.jpg,1,0,0,1,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0110834_sc-216718.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0113764_as-2598661.jpg,1,1,0,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0050488_sc-227481.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0159496_as-0012472.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0306718_as-0024246.jpg,3,1,1,1,6,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0332799_as-0031846.jpg,2,0,0,1,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0559946_sc-144663.jpg,3,0,0,1,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0288232_sc-1031084.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0058211_sc-204946.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0365461_sc-187046.jpg,1,0,0,1,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0201105_as-7393320.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0067667_sc-218719.jpg,1,1,0,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0502479_as-0084444.jpg,1,1,0,1,3,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0221118_as-0036225.jpg,4,0,0,0,4,4.0,train,,,,,,,,,,,,,,,,,,,,,,
0114957_as-3420440.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0445386_sc-181150.jpg,4,0,0,1,5,3.583333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0152211_as-3302761.jpg,2,0,0,1,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0298687_sc-142034.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0046139_sc-145095.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0247274_as-0095341.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0507683_as-0093379.jpg,1,0,3,2,6,1.6666666666666667,train,,,,,,,,,,,,,,,,,,,,,,
0247046_sc-134908.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0412196_sc-1040996.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0328385_sc-1028175.jpg,3,1,1,1,6,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0355106_sc-1035593.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0428393_sc-168699.jpg,4,0,2,0,6,3.6666666666666665,train,,,,,,,,,,,,,,,,,,,,,,
0035827_sc-199990.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0461488_as-2869729.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0194330_as-0071182.jpg,3,0,1,0,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0196108_as-0073014.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0477385_as-0069117.jpg,2,1,0,0,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0103721_sc-200380.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0278429_sc-214632.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0331054_as-0096179.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0351374_sc-150542.jpg,2,0,1,0,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0534305_sc-1017792.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0341984_as-2737699.jpg,14,0,0,7,21,44.91666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0302677_sc-1035942.jpg,1,0,1,1,3,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0109665_sc-208113.jpg,1,0,1,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0327596_sc-147451.jpg,3,0,1,1,5,1.5833333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0362145_as-3456048.jpg,3,2,0,0,5,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0239553_sc-226439.jpg,1,0,1,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0058995_as-0014955.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0316503_as-0075059.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0072008_sc-1033995.jpg,2,0,1,0,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0372433_as-0065503.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0343237_sc-148884.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0161181_sc-1041606.jpg,2,1,1,2,6,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0371343_sc-216317.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0414624_sc-1034860.jpg,3,0,1,0,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0159365_sc-163810.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0156758_as-7501784.jpg,3,1,0,0,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0426857_sc-103492.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0007706_sc-128402.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0183957_sc-134778.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0148643_sc-214729.jpg,0,0,2,1,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0494984_as-0020337.jpg,4,0,0,0,4,4.0,train,,,,,,,,,,,,,,,,,,,,,,
0057486_as-0082987.jpg,3,1,0,0,4,2.0,train,,,,,,,,,,,,,,,,,,,,,,
0234671_as-0040402.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0038158_as-0080984.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0260201_sc-213436.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0469691_sc-198689.jpg,2,0,1,1,4,0.6666666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0253793_sc-169133.jpg,2,2,2,1,7,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0187868_sc-1033549.jpg,4,0,0,0,4,4.0,train,,,,,,,,,,,,,,,,,,,,,,
0168991_as-0071593.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0280847_as-0082708.jpg,1,2,1,2,6,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0395641_sc-1031895.jpg,2,2,0,0,4,1.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0397997_as-7440715.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0082731_as-0083709.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0520689_as-3380073.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0152716_as-0008241.jpg,2,0,1,0,3,0.9166666666666666,train,,,,,,,,,,,,,,,,,,,,,,
0320407_as-0061892.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0240635_as-3433194.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0530346_as-0050324.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0544237_as-0068438.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0519759_as-0046154.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0130079_as-0073376.jpg,0,0,1,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0317833_sc-171496.jpg,1,1,4,1,7,2.25,train,,,,,,,,,,,,,,,,,,,,,,
0185783_sc-148628.jpg,2,0,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0521053_as-0065818.jpg,0,2,0,0,2,1.0,train,,,,,,,,,,,,,,,,,,,,,,
0218300_as-0084441.jpg,1,0,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0136103_sc-201964.jpg,1,0,1,0,2,0.3333333333333333,train,,,,,,,,,,,,,,,,,,,,,,
0460840_sc-140882.jpg,0,1,0,0,1,0.25,train,,,,,,,,,,,,,,,,,,,,,,
0553344_as-0072625.jpg,8,3,2,0,13,11.583333333333334,train,,,,,,,,,,,,,,,,,,,,,,
0234928_sc-199389.jpg,3,0,0,0,3,2.25,train,,,,,,,,,,,,,,,,,,,,,,
